YEAR,MONTH,lluvia_mm,temp_max,temp_min,humedad,ph_suelo,Recomendacion
1981,APR,0.23103581055063535,0.3613744075829386,0.6929260450160772,0.678166351606805,0.2988313856427379,2
1982,APR,0.14208702348864075,0.48815165876777256,0.3874598070739548,0.434310018903592,0.7712854757929883,1
1983,APR,0.14401232190989602,0.9182464454976302,0.49678456591639875,0.1375236294896034,0.08848080133555924,1
1984,APR,0.10396611474778593,0.71563981042654,0.2700964630225078,0.16446124763705106,0.28714524207011694,1
1985,APR,0.03157489410858683,0.7831753554502368,0.4742765273311893,0.13090737240075656,0.6994991652754592,1
1986,APR,0.016942626107046596,0.764218009478673,0.6929260450160772,0.24621928166351603,0.951585976627713,1
1987,APR,0.1732768579129765,0.43483412322274884,0.45337620578778126,0.5959357277882802,0.682804674457429,1
1988,APR,0.06623026569118214,0.7725118483412321,0.5643086816720257,0.17344045368620042,0.8414023372287147,1
1989,APR,0.014247208317289184,0.6978672985781991,0.5289389067524117,0.13705103969754262,0.07512520868113526,1
1990,APR,0.03465537158259531,0.7464454976303316,0.21704180064308676,0.15926275992438566,0.8397328881469113,1
1991,APR,0.030804774740084716,0.9383886255924172,0.43086816720257226,0.13705103969754262,0.8614357262103505,1
1992,APR,0.03696572968810166,0.9893364928909953,0.5643086816720257,0.1729678638941401,0.4991652754590985,1
1993,APR,0.060069310743165204,0.8779620853080567,0.6334405144694533,0.15595463137996246,0.347245409015025,1
1994,APR,0.041201386214863314,0.75,0.49839228295819926,0.146030245746692,0.5075125208681135,1
1995,APR,0.08894878706199462,0.953791469194313,0.6704180064308682,0.31001890359168227,0.8247078464106845,1
1996,APR,0.01732768579129765,0.7239336492890995,0.5016077170418003,0.13421550094517976,0.006677796327211993,1
1997,APR,0.07354639969195226,0.7132701421800949,0.41157556270096474,0.09735349716446118,0.39398998330550916,1
1998,APR,0.03157489410858683,1.0,0.6704180064308682,0.14839319470699408,0.4791318864774624,1
1999,APR,0.21794378128609934,0.4229857819905214,0.3038585209003217,0.5387523629489603,0.5959933222036728,1
2000,APR,0.10935695032730074,0.37203791469194325,0.46302250803858525,0.5411153119092624,0.44073455759599334,2
2001,APR,0.11012706969580285,0.5545023696682465,0.5980707395498392,0.47353497164461267,0.7979966611018363,1
2002,APR,0.09164420485175204,0.3803317535545023,0.3987138263665593,0.38941398865784516,0.8948247078464107,1
